x,y,z,source,maxzoom
33,32,6,glo30,12
7,51,6,glo30,12
6,51,6,glo30,12
15,32,6,glo30,12
38,41,6,glo30,12
30,6,6,glo30,12
17,1,6,glo30,12
0,31,6,glo30,12
21,3,6,glo30,12
20,3,6,glo30,12
45,32,6,glo30,12
44,32,6,glo30,12
44,33,6,glo30,12
30,15,5,glo30,12
1069,642,11,glo30,12
1069,643,11,glo30,12
4,33,6,glo30,12
4,32,6,glo30,12
5,33,6,glo30,12
23,2,6,glo30,12
23,3,6,glo30,12
22,3,6,glo30,12
88,123,8,glo30,12
995,713,11,glo30,12
22,20,6,glo30,12
23,21,6,glo30,12
22,21,6,glo30,12
10,48,6,glo30,12
11,48,6,glo30,12
62,29,6,glo30,12
13,7,6,glo30,12
13,6,6,glo30,12
68,51,7,glo30,12
69,51,7,glo30,12
69,50,7,glo30,12
3,27,6,glo30,12
2,27,6,glo30,12
51,47,6,glo30,12
50,47,6,glo30,12
30,40,6,glo30,12
14,2,5,glo30,12
14,3,5,glo30,12
33,9,6,glo30,12
33,8,6,glo30,12
53,47,6,glo30,12
52,47,6,glo30,12
9,10,6,glo30,12
9,11,6,glo30,12
7,13,6,glo30,12
6,13,6,glo30,12
2,17,5,glo30,12
3,17,5,glo30,12
55,38,6,glo30,12
54,38,6,glo30,12
37,38,6,glo30,12
36,38,6,glo30,12
28,25,6,glo30,12
29,25,6,glo30,12
1,48,6,glo30,12
0,48,6,glo30,12
555,387,10,glo30,12
554,386,10,glo30,12
555,386,10,glo30,12
32,13,6,glo30,12
33,13,6,glo30,12
55,11,6,glo30,12
55,10,6,glo30,12
47,4,6,glo30,12
47,5,6,glo30,12
274,200,9,glo30,12
275,200,9,glo30,12
275,201,9,glo30,12
58,29,6,glo30,12
58,28,6,glo30,12
20,19,6,glo30,12
20,18,6,glo30,12
21,19,6,glo30,12
4,31,6,glo30,12
0,40,6,glo30,12
44,41,6,glo30,12
60,9,6,glo30,12
23,1,6,glo30,12
1005,703,11,glo30,12
